Title,Artist,Preview URL,BPM,BPM Confidence,Key,Key Confidence,Energy,Danceability,Acousticness,Brightness (Hz),Time Signature,Valence,Mood,Loudness (dB),Dynamic Range (dB),Silence Ratio,Analysis Duration (s),Analyzed At
You Know You Like It,DJ Snake/AlunaGeorge,audiodata://DJ Snake/AlunaGeorge/You Know You Like It,129.19921875,0.5743707607315794,C Major,0.1311840811100782,0.6178282499313354,-0.010897400867410506,0.45129034616665054,2194.8386153333977,4/4,0.8735656499862671,energetic,-13.536259651184082,19.980180859565735,0.020123839009287926,1.2538046836853027,2025-11-11 17:32:36
You Give Love A Bad Name,Bon Jovi,audiodata://Bon Jovi/You Give Love A Bad Name,123.046875,0.7848293012608877,A# Major,0.10757205937835199,0.34085051715373993,0.17241197721166732,0.30014836381098053,2799.406544756078,4/4,0.8181701034307479,energetic,-14.919901847839355,21.284178161621092,0.06191950464396285,1.23350191116333,2025-11-11 17:32:34
You Get What You Give,New Radicals,audiodata://New Radicals/You Get What You Give,112.34714673913044,0.8049774389549554,D Major,0.1070907191673122,0.45659467577934265,-0.08989831988082275,0.3223965852204739,2710.4136591181045,4/4,0.6413189351558686,neutral,-8.534672737121582,19.542503309249877,0.003869969040247678,1.1734871864318848,2025-11-11 17:32:33
You Dropped A Bomb On Me,The Gap Band,audiodata://The Gap Band/You Dropped A Bomb On Me,123.046875,0.8016567864431124,E Major,0.1140165480379697,0.24054861813783646,-0.1555832711299443,0.2840330680765928,2863.8677276936287,4/4,0.7981097236275673,energetic,-12.368471145629883,15.968991088867188,0.0007739938080495357,1.145956039428711,2025-11-11 17:32:31
You Can't Hurry Love - 2016 Remaster,Phil Collins,audiodata://Phil Collins/You Can't Hurry Love - 2016 Remaster,99.38401442307692,0.806359792343943,G Major,0.13686070036811815,0.38141150772571564,-0.033694510280004766,0.3236293172942869,2705.4827308228523,4/4,0.6262823015451432,neutral,-5.231671333312988,7.902446842193603,0.01780185758513932,1.1769888401031494,2025-11-11 17:32:30
You Can't Change That,Ray Parker Jr./Raydio,audiodata://Ray Parker Jr./Raydio/You Can't Change That,172.265625,0.7688765061490288,B Major,0.11681157269380756,0.2144756019115448,-0.0768035234738311,0.462798732676726,2148.805069293096,4/4,0.7928951203823089,energetic,-8.809576988220215,12.169583415985107,0.007739938080495356,1.1934788227081299,2025-11-11 17:32:29
You Can Call Me Al,Paul Simon,audiodata://Paul Simon/You Can Call Me Al,129.19921875,0.7886498772302281,C Major,0.10557650562199734,0.07152030430734158,-0.05610793114200574,0.5088832740924244,1964.4669036303023,4/4,0.7643040608614683,energetic,-10.98311996459961,14.26444778442383,0.005417956656346749,1.3161108493804932,2025-11-11 17:32:28
You Belong With Me (Taylor,Taylor Swift,audiodata://Taylor Swift/You Belong With Me (Taylor,129.19921875,0.8065854427903498,B Major,0.12619376892038117,0.2751673310995102,-0.16216960906535402,0.4345211389684185,2261.915444126326,4/4,0.805033466219902,energetic,-6.952150821685791,13.357519912719727,0.009287925696594427,1.1763839721679688,2025-11-11 17:32:26
YMCA - Original Version 1978,Village People,audiodata://Village People/YMCA - Original Version 1978,129.19921875,0.7650120088042112,D# Minor,0.09247529082264581,0.08747144602239132,-0.0060335093337321455,0.39495677589148226,2420.172896434071,4/4,0.4674942892044782,neutral,-8.062373161315918,11.957069206237794,0.006191950464396285,1.1957380771636963,2025-11-11 17:32:25
"yes, and?",Ariana Grande,"audiodata://Ariana Grande/yes, and?",112.34714673913044,0.6382106221691153,C# Minor,0.10061924172520323,0.16243652254343033,0.1090059471579698,0.48331421870129343,2066.7431251948265,4/4,0.28248730450868603,tense,-9.652766227722168,15.127329921722415,0.0007739938080495357,1.197864055633545,2025-11-11 17:32:24
Yellow Mellow,Ocean Alley,audiodata://Ocean Alley/Yellow Mellow,95.703125,0.7435670128970269,B Minor,0.135373110182839,0.8158184587955475,-0.1020447576955162,0.42419143551898186,2303.2342579240726,4/4,0.4131636917591095,neutral,-8.17574691772461,12.384177923202515,0.014705882352941176,1.1585559844970703,2025-11-11 17:32:22
Yeah! (feat. Lil Jon & Ludacris),USHER/Lil Jon/Ludacris,audiodata://USHER/Lil Jon/Ludacris/Yeah! (feat. Lil Jon & Ludacris),103.359375,0.7809323440497016,E Minor,0.24871868698939903,0.47385674715042114,-0.04719800470475283,0.21483075206311153,3140.676991747554,4/4,0.3447713494300842,tense,-11.660674095153809,17.305918598175047,0.05959752321981424,1.1589651107788086,2025-11-11 17:32:21
