Song Title,Artist,Google BPM,Spotify bpm,Songwise Bpm,Deezer BPM,Deezer Track URL,SongBPM BPM,SongBPM URL,Tunebat BPM,Tunebat URL
The King of Wishful Thinking,Go West,108,108,110.6,,https://www.deezer.com/track/1787666357,108,https://songbpm.com/@go-west/the-king-of-wishful-thinking,,
Folsom Prison Blues,Johnny Cash,102,111,114.0,111.4,https://www.deezer.com/track/75299638,102,https://songbpm.com/@johnny-cash/folsom-prison-blues,,
Peace Train,Yusuf/Cat Stevens,82,82,110.6,,https://www.deezer.com/track/1550811232,82,https://songbpm.com/@yusuf-cat-stevens/peace-train,,
Blow Up The Pokies,The Whitlams,80,82,110.6,157.8,https://www.deezer.com/track/428216362,82,https://songbpm.com/@the-whitlams/blow-up-the-pokies,,
Beer Never Broke My Heart,Luke Combs,77,77,76.0,,https://www.deezer.com/track/943400002,77,https://songbpm.com/@luke-combs/beer-never-broke-my-heart,,
Dance The Night,Dua Lipa,110,110,114.0,,https://www.deezer.com/track/2299840635,,,,
Are You Gonna Be My Girl,Jet,210,105,107.4,104.93,https://www.deezer.com/track/62166723,105,https://songbpm.com/@jet/are-you-gonna-be-my-girl,,
Murder On The Dancefloor,Sophie Ellis-Bextor,121,117,117.8,117.1,https://www.deezer.com/track/4181750,117,https://songbpm.com/@sophie-ellis-bextor/murder-on-the-dancefloor,,
Good Riddance (Time of Your Life),Green Day,95,95,126.4,94.6,https://www.deezer.com/track/778429,95,https://songbpm.com/@green-day/good-riddance-time-of-your-life,,
3AM,Matchbox Twenty,108,108,110.6,108,https://www.deezer.com/track/72189643,108,https://songbpm.com/@matchbox-twenty/3am,,
Love Yourself,Justin Bieber,100,100,104.5,99.86,https://www.deezer.com/track/112662368,100,https://songbpm.com/@justin-bieber/love-yourself,,
Betterman,John Butler Trio,120,109,110.6,106.6,https://www.deezer.com/track/72822513,118,https://songbpm.com/@john-butler-trio/betterman,,
Rock DJ,Robbie Williams,104,103,107.4,103.1,https://www.deezer.com/track/3102419,103,https://songbpm.com/@robbie-williams/rock-dj,,
Hello,Adele,79,79,126.4,,https://www.deezer.com/track/138545995,158,https://songbpm.com/@adele/hello,,
"Shit, Damn, Motherfucker",D'Angelo,81,81,161.5,80.91,https://www.deezer.com/track/139104007,81,https://songbpm.com/@d-angelo/shit-damn-motherfucker,,
"Good Luck, Babe!",Chappell Roan,117,117,117.8,,https://www.deezer.com/track/2728070371,,,,
Closer,Nine Inch Nails,90,90,96.9,179.8,https://www.deezer.com/track/1173960,90,https://songbpm.com/@nine-inch-nails/closer,,
Tomorrow,Silverchair,74,151,115.2,152,https://www.deezer.com/track/97311892,145,https://songbpm.com/@silverchair/tomorrow,,
Everlong,Foo Fighters,158,158,110.6,157.8,https://www.deezer.com/track/4762041,158,https://songbpm.com/@foo-fighters/everlong,,
Real World,Matchbox Twenty,118,118,117.8,118.1,https://www.deezer.com/track/3664082,118,https://songbpm.com/@matchbox-twenty/real-world,,
You Make My Dreams,Daryl Hall & John Oates,167,167,166.7,167.38,https://www.deezer.com/track/546004,,,,
Otherside,Red Hot Chili Peppers,123,123,117.8,123.8,https://www.deezer.com/track/725261,123,https://songbpm.com/@red-hot-chili-peppers/otherside,,
Karma Police,Radiohead,75,75,132.4,150.89,https://www.deezer.com/track/138539981,75,https://songbpm.com/@radiohead/karma-police,,
Slide,The Goo Goo Dolls,112,112,114.0,113.3,https://www.deezer.com/track/2680857,112,https://songbpm.com/@the-goo-goo-dolls/slide,,
Crazy Little Thing Called Love,Queen,160,77,105.7,153.12,https://www.deezer.com/track/568121002,77,https://songbpm.com/@queen/crazy-little-thing-called-love,,
Better Man,Pearl Jam,88,125,126.4,125.7,https://www.deezer.com/track/10244863,125,https://songbpm.com/@pearl-jam/better-man,,
Hurt,Johnny Cash,92,90,99.2,90.87,https://www.deezer.com/track/128846783,91,https://songbpm.com/@johnny-cash/hurt,,
Freak On a Leash,Korn,103,103,107.4,,,103,https://songbpm.com/@korn/freak-on-a-leash,,
Pardon Me,Incubus,150,152,107.4,152,https://www.deezer.com/track/14876855,152,https://songbpm.com/@incubus/pardon-me,,
Ex-Girlfriend,No Doubt,168,173,94.7,173,https://www.deezer.com/track/24246401,173,https://songbpm.com/@no-doubt/ex-girlfriend,,
Around the World,Red Hot Chili Peppers,96,97,126.4,189.7,https://www.deezer.com/track/774239,96,https://songbpm.com/@red-hot-chili-peppers/around-the-world,,
Iris,"Scary Pockets, Laura Elliott",74,110,110.6,,https://www.deezer.com/track/2454483865,,,,
In the Summertime,Thirsty Merc,78,156,107.4,156.6,https://www.deezer.com/track/73745415,156,https://songbpm.com/@thirsty-merc/in-the-summertime,,
Find an Island,BENEE,82,82,161.5,,https://www.deezer.com/track/802283022,82,https://songbpm.com/@benee/find-an-island,,
2 Become 1,Spice Girls,72,144,143.6,144.1,https://www.deezer.com/track/3133740,144,https://songbpm.com/@spice-girls/2-become-1,,
Still into You,Paramore,136,136,131.4,136,https://www.deezer.com/track/65732147,136,https://songbpm.com/@paramore/still-into-you,,
When You're Gone,"Bryan Adams, Melanie C",126,125,61.5,125.7,https://www.deezer.com/track/1582289,126,https://songbpm.com/@bryan-adams/when-you-re-gone,,
Raise Your Glass,P!nk,122,122,61.5,122,https://www.deezer.com/track/7512152,122,https://songbpm.com/@p-nk/raise-your-glass,,
Houdini,Dua Lipa,117,117,117.8,,https://www.deezer.com/track/2525537871,,,,
Escape (The Pina Colada Song),Rupert Holmes,139,139,131.4,139.7,https://www.deezer.com/track/906658,141,https://songbpm.com/@rupert-holmes/escape-the-pina-colada-song,,
The Gambler,Kenny Rogers,87,87,96.9,173.7,https://www.deezer.com/track/3108438,87,https://songbpm.com/@kenny-rogers/the-gambler,,
Khe Sanh,Cold Chisel,166,90,96.9,163.4,https://www.deezer.com/track/71688634,164,https://songbpm.com/@cold-chisel/khe-sanh,,
Life Is A Highway,Tom Cochrane,103,103,107.4,103.1,https://www.deezer.com/track/3182179,103,https://songbpm.com/@tom-cochrane/life-is-a-highway,,
Celebrity Skin,Hole,134,134,131.4,134.2,https://www.deezer.com/track/2229884,134,https://songbpm.com/@hole/celebrity-skin,,
RAISED LIKE THAT,James Johnston,111,111,114.0,,https://www.deezer.com/track/2967737291,,,,
Last Night,Morgan Wallen,102,204,107.4,,https://www.deezer.com/track/3398329531,,,,
Come on over Baby,Christina Aguilera,119,119,117.8,118.8,https://www.deezer.com/track/15629723,,,,
No Diggity,Blackstreet,89,89,117.8,88.7,https://www.deezer.com/track/916496,89,https://songbpm.com/@blackstreet/no-diggity,,
Stop,Spice Girls,130,130,126.4,130,https://www.deezer.com/track/3134156,130,https://songbpm.com/@spice-girls/stop,,
We Are Never... Back Together,Taylor Swift,86,86,94.7,,,172,https://songbpm.com/@taylor-swift/we-are-never-ever-getting-back-together,,
Complicated,Avril Lavigne,78,78,115.2,156,https://www.deezer.com/track/15587465,78,https://songbpm.com/@avril-lavigne/complicated,,
4ever,The Veronicas,147,146,143.6,146.1,https://www.deezer.com/track/6614528,146,https://songbpm.com/@the-veronicas/4ever,,
Call Me Maybe,Carly Rae Jepsen,120,120,117.8,119.8,https://www.deezer.com/track/17826508,120,https://songbpm.com/@carly-rae-jepsen/call-me-maybe,,
Everybody Wants To Rule...,Tears For Fears,112,112,114.0,168.1,https://www.deezer.com/track/88845771,112,https://songbpm.com/@tears-for-fears/everybody-wants-to-rule-the-world,,
Misery Business,Paramore,173,173,117.8,173,https://www.deezer.com/track/3829140,173,https://songbpm.com/@paramore/misery-business,,
You Belong With Me,Taylor Swift,130,130,126.4,,,130,https://songbpm.com/@taylor-swift/you-belong-with-me,,
My Heart Will Go On,Céline Dion,99,99,121.9,98.9,https://www.deezer.com/track/14552280,,,,
Hallelujah,Jeff Buckley,71,97,107.4,102.6,https://www.deezer.com/track/108733464,97,https://songbpm.com/@jeff-buckley/hallelujah,,
Pretty Fly (For A White Guy),The Offspring,143,143,143.6,143.06,https://www.deezer.com/track/137233982,175,https://songbpm.com/@the-offspring/pretty-fly-for-a-white-guy,,
Sex & Candy,Marcy Playground,80,81,110.4,,https://www.deezer.com/track/3239961,81,https://songbpm.com/@marcy-playground/sex-and-candy,,
Love Story,Taylor Swift,119,119,117.8,,,119,https://songbpm.com/@taylor-swift/love-story,,
That Don't Impress Me Much,Shania Twain,125,125,61.5,124.91,https://www.deezer.com/track/731732422,125,https://songbpm.com/@shania-twain/that-don-t-impress-me-much,,
Days Go By,Keith Urban,132,132,126.4,132.1,https://www.deezer.com/track/3359568,132,https://songbpm.com/@keith-urban/days-go-by,,
